,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
0,,1,,,,4,4,,,,,2,2,0,,,,,,,,,4,3,4,1,1,3,0,5,6,6,5.666666666666667,0
1,,1,,,,1,1,,,,,1,2,0,,,,,,,,,5,3,3,1,1,3,0,5,5,6,5.333333333333333,0
2,,0,,,,1,1,,,,,1,2,3,,,,,,,,,4,3,2,2,3,3,0,7,8,10,8.333333333333334,1
3,,0,,,,4,2,,,,,1,3,0,,,,,,,,,3,2,2,1,1,5,0,15,14,15,14.666666666666666,1
4,,0,,,,3,3,,,,,1,2,0,,,,,,,,,4,3,2,1,2,5,0,6,10,10,8.666666666666666,1
5,,0,,,,4,3,,,,,1,2,0,,,,,,,,,5,4,2,1,2,5,0,15,15,15,15.0,1
6,,0,,,,2,2,,,,,1,2,0,,,,,,,,,4,4,4,1,1,3,0,12,12,11,11.666666666666666,1
7,,1,,,,4,4,,,,,2,2,0,,,,,,,,,4,1,4,1,1,1,0,6,5,6,5.666666666666667,0
8,,0,,,,3,2,,,,,1,2,0,,,,,,,,,4,2,2,1,1,1,0,16,18,19,17.666666666666668,1
9,,0,,,,3,4,,,,,1,2,0,,,,,,,,,5,5,1,1,1,5,0,14,15,15,14.666666666666666,1
10,,0,,,,4,4,,,,,1,2,0,,,,,,,,,3,3,3,1,2,2,0,10,8,9,9.0,1
11,,0,,,,2,1,,,,,3,3,0,,,,,,,,,5,2,2,1,1,4,0,10,12,12,11.333333333333334,1
12,,0,,,,4,4,,,,,1,1,0,,,,,,,,,4,3,3,1,3,5,0,14,14,14,14.0,1
13,,0,,,,4,3,,,,,2,2,0,,,,,,,,,5,4,3,1,2,3,0,10,10,11,10.333333333333334,1
14,,0,,,,2,2,,,,,1,3,0,,,,,,,,,4,5,2,1,1,3,0,14,16,16,15.333333333333334,1
15,,0,,,,4,4,,,,,1,1,0,,,,,,,,,4,4,4,1,2,2,0,14,14,14,14.0,1
16,,0,,,,4,4,,,,,1,3,0,,,,,,,,,3,2,3,1,2,2,0,13,14,14,13.666666666666666,1
17,,0,,,,3,3,,,,,3,2,0,,,,,,,,,5,3,2,1,1,4,0,8,10,10,9.333333333333334,1
18,,1,,,,3,2,,,,,1,1,3,,,,,,,,,5,5,5,2,4,5,1,6,5,5,5.333333333333333,0
19,,0,,,,4,3,,,,,1,1,0,,,,,,,,,3,1,3,1,3,5,0,8,10,10,9.333333333333334,1
20,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,4,1,1,1,1,0,13,14,15,14.0,1
21,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,4,2,1,1,5,0,12,15,15,14.0,1
22,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,5,1,1,3,5,0,15,15,16,15.333333333333334,1
23,,0,,,,2,2,,,,,2,2,0,,,,,,,,,5,4,4,2,4,5,0,13,13,12,12.666666666666666,1
24,,0,,,,2,4,,,,,1,3,0,,,,,,,,,4,3,2,1,1,5,0,10,9,8,9.0,1
25,,0,,,,2,2,,,,,1,1,2,,,,,,,,,1,2,2,1,3,5,1,6,9,8,7.666666666666667,0
26,,0,,,,2,2,,,,,1,1,0,,,,,,,,,4,2,2,1,2,5,0,12,12,11,11.666666666666666,1
27,,0,,,,4,2,,,,,1,1,0,,,,,,,,,2,2,4,2,4,1,0,15,16,15,15.333333333333334,1
28,,0,,,,3,4,,,,,1,2,0,,,,,,,,,5,3,3,1,1,5,0,11,11,11,11.0,1
29,,0,,,,4,4,,,,,1,2,0,,,,,,,,,4,4,5,5,5,5,1,10,12,11,11.0,1
30,,0,,,,4,4,,,,,1,2,0,,,,,,,,,5,4,2,3,4,5,0,9,11,12,10.666666666666666,1
31,,0,,,,4,4,,,,,2,2,0,,,,,,,,,4,3,1,1,1,5,0,17,16,17,16.666666666666668,1
32,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,5,2,1,1,5,0,17,16,16,16.333333333333332,1
33,,0,,,,3,3,,,,,1,2,0,,,,,,,,,5,3,2,1,1,2,0,8,10,12,10.0,1
34,,0,,,,3,2,,,,,1,1,0,,,,,,,,,5,4,3,1,1,5,0,12,14,15,13.666666666666666,1
35,,0,,,,2,3,,,,,2,1,0,,,,,,,,,3,5,1,1,1,5,0,8,7,6,7.0,0
36,,0,,,,4,3,,,,,1,3,0,,,,,,,,,5,4,3,1,1,4,0,15,16,18,16.333333333333332,1
37,,0,,,,4,4,,,,,2,3,0,,,,,,,,,2,4,3,1,1,5,0,15,16,15,15.333333333333334,1
38,,0,,,,3,4,,,,,1,3,0,,,,,,,,,4,3,2,1,1,5,0,12,12,11,11.666666666666666,1
39,,0,,,,2,2,,,,,1,1,0,,,,,,,,,4,3,1,1,1,2,0,14,13,13,13.333333333333334,1
40,,0,,,,2,2,,,,,2,2,1,,,,,,,,,3,3,3,1,2,3,2,7,10,11,9.333333333333334,1
41,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,4,3,2,4,5,0,12,12,12,12.0,1
42,,0,,,,4,4,,,,,1,2,0,,,,,,,,,4,3,3,1,1,5,0,19,18,18,18.333333333333332,1
43,,0,,,,2,2,,,,,1,1,0,,,,,,,,,5,4,1,1,1,1,0,8,8,11,9.0,1
44,,0,,,,2,2,,,,,2,2,1,,,,,,,,,4,3,3,2,2,5,1,10,10,9,9.666666666666666,1
45,,0,,,,4,3,,,,,1,2,0,,,,,,,,,5,2,2,1,1,5,0,8,8,6,7.333333333333333,0
46,,0,,,,3,3,,,,,1,2,0,,,,,,,,,2,3,5,1,4,3,1,11,12,11,11.333333333333334,1
47,,0,,,,4,3,,,,,1,4,0,,,,,,,,,4,2,2,1,1,2,0,19,19,20,19.333333333333332,1
48,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,3,3,2,2,5,0,15,15,14,14.666666666666666,1
49,,0,,,,4,4,,,,,1,2,1,,,,,,,,,4,4,4,1,1,3,0,7,7,7,7.0,0
50,,0,,,,2,2,,,,,3,2,0,,,,,,,,,4,3,3,2,3,4,0,12,13,13,12.666666666666666,1
51,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,3,3,1,1,5,0,11,13,13,12.333333333333334,1
52,,0,,,,4,2,,,,,2,1,1,,,,,,,,,5,5,5,3,4,5,0,11,11,10,10.666666666666666,1
53,,0,,,,4,4,,,,,1,1,0,,,,,,,,,3,3,4,2,3,5,0,8,10,11,9.666666666666666,1
54,,0,,,,3,3,,,,,1,1,0,,,,,,,,,5,3,4,4,4,1,0,10,13,13,12.0,1
55,,0,,,,2,1,,,,,1,2,0,,,,,,,,,5,3,4,1,1,2,0,8,9,10,9.0,1
56,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,3,2,1,1,1,0,14,15,15,14.666666666666666,1
57,,0,,,,4,4,,,,,1,2,0,,,,,,,,,3,2,2,1,1,5,0,14,15,15,14.666666666666666,1
58,,0,,,,1,2,,,,,1,2,0,,,,,,,,,4,3,2,1,1,5,0,9,10,9,9.333333333333334,1
59,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,2,3,1,1,5,0,15,16,16,15.666666666666666,1
60,,0,,,,4,4,,,,,1,2,0,,,,,,,,,2,4,4,2,3,4,0,10,11,11,10.666666666666666,1
61,,0,,,,1,1,,,,,4,1,0,,,,,,,,,5,5,5,5,5,5,0,10,8,11,9.666666666666666,1
