,index,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
0,0,1,1,0,1,0,4,4,0,3,1,,2,2,0,0,1,1,1,0,0,0,1,4,3,4,1,1,3,0,5,6,6,5.666666666666667,0
1,1,1,1,0,1,1,1,1,0,5,1,,1,2,0,1,0,1,1,1,0,1,1,5,3,3,1,1,3,0,5,5,6,5.333333333333333,0
2,2,1,0,0,0,1,1,1,0,5,3,,1,2,3,0,1,0,1,0,0,1,1,4,3,2,2,3,3,0,7,8,10,8.333333333333334,1
3,3,1,0,0,1,1,4,2,1,4,2,,1,3,0,1,0,0,0,0,0,1,0,3,2,2,1,1,5,0,15,14,15,14.666666666666666,1
4,4,1,0,0,1,1,3,3,5,5,2,,1,2,0,1,0,0,1,0,0,0,1,4,3,2,1,2,5,0,6,10,10,8.666666666666666,1
5,5,0,0,0,0,1,4,3,4,5,0,,1,2,0,1,0,0,0,0,0,1,1,5,4,2,1,2,5,0,15,15,15,15.0,1
6,6,0,0,0,0,1,2,2,5,5,2,,1,2,0,1,1,1,1,0,0,1,1,4,4,4,1,1,3,0,12,12,11,11.666666666666666,1
7,7,1,1,0,1,0,4,4,5,3,2,,2,2,0,0,0,1,1,0,0,0,1,4,1,4,1,1,1,0,6,5,6,5.666666666666667,0
8,8,0,0,0,0,0,3,2,4,5,2,,1,2,0,1,0,0,1,0,0,1,1,4,2,2,1,1,1,0,16,18,19,17.666666666666668,1
9,9,0,0,0,1,1,3,4,5,5,2,,1,2,0,1,0,0,0,0,0,1,1,5,5,1,1,1,5,0,14,15,15,14.666666666666666,1
10,10,1,0,0,1,1,4,4,3,1,0,,1,2,0,1,0,0,1,0,0,1,1,3,3,3,1,2,2,0,10,8,9,9.0,1
11,11,1,0,0,1,1,2,1,4,5,0,,3,3,0,1,0,1,0,0,0,1,1,5,2,2,1,1,4,0,10,12,12,11.333333333333334,1
12,12,0,0,0,0,1,4,4,1,4,1,,1,1,0,1,0,0,0,0,0,1,1,4,3,3,1,3,5,0,14,14,14,14.0,1
13,13,0,0,0,1,1,4,3,3,5,1,,2,2,0,1,0,0,1,0,0,1,1,5,4,3,1,2,3,0,10,10,11,10.333333333333334,1
14,14,0,0,0,1,0,2,2,5,5,2,,1,3,0,1,0,1,1,0,0,1,0,4,5,2,1,1,3,0,14,16,16,15.333333333333334,1
